text, coorX, coorY, username, created at, hashtag(s) 
The earth without art is simply boring #puremichigan #sunset #nofilter @ Eastern Michigan https://t.co/QtCLegOShC,-83.62291469, 42.25005924,JessicaBallad_,Mon Nov 07 02:07:32 +0000 2016,#puremichigan #sunset #nofilter 
11/6/2016 #sunset over the #vines #November #autumn #fall @ The Lenz Winery https://t.co/UoarWJxwEF,-72.46377796, 41.03458334,modernemama,Mon Nov 07 02:06:38 +0000 2016,#sunset #vines #November #autumn #fall 
Driving home from Moab #Spontaneous #RoadTrip #Moab #Utah #GoPro #Sunset @ Moab/ Utah https://t.co/GACWK9YouA,-109.54972222, 38.5725,Sandersen31,Mon Nov 07 02:06:25 +0000 2016,#Spontaneous #RoadTrip #Moab #Utah #GoPro #Sunset 
Sky art Sunset from above Leaving Aruba  #sun #sunset #flight #plane #Aruba #lonehappyisland https://t.co/NW23MzhH2r,-78.77306819, 26.52053548,Ckolb,Mon Nov 07 02:03:14 +0000 2016,#sun #sunset #flight #plane #Aruba #lonehappyisland 
Cloud reaching out to grab the plane #sun #sunset #flight #plane #Aruba #lonehappyisland https://t.co/5vbRjKAVbw,-69.96666667, 12.5,Ckolb,Mon Nov 07 02:01:25 +0000 2016,#sun #sunset #flight #plane #Aruba #lonehappyisland 
Sunset from above Leaving Aruba  #sun #sunset #flight #plane #Aruba #lonehappyisland  #clouds https://t.co/AdAzBd1re7,-69.96666667, 12.5,Ckolb,Mon Nov 07 01:58:31 +0000 2016,#sun #sunset #flight #plane #Aruba #lonehappyisland #clouds 
Sundown. #sunset #sunsets #trees #forest #forests #sun #sunlight #autumn #fall #mextures @ https://t.co/E4LgRe0Xy2,-79.25, 42.9833,NexusJay,Mon Nov 07 01:58:14 +0000 2016,#sunset #sunsets #trees #forest #forests #sun #sunlight #autumn #fall #mextures 
Clouds and sky #sun #sunset #flight #plane #Aruba #lonehappyisland  #clouds #mylife #gaycation https://t.co/qlBfxMGDGw,-69.96666667, 12.5,Ckolb,Mon Nov 07 01:57:30 +0000 2016,#sun #sunset #flight #plane #Aruba #lonehappyisland #clouds #mylife #gaycation 
Sunset near Albany from yet another plane window. That was my day/ but finally home!  #sunset https://t.co/ZATpEf2GuX,-73.80943808, 42.74570644,tammyshampoo,Mon Nov 07 01:56:51 +0000 2016,#sunset 
#finished #myday #palmtrees #inthebreeze #blackgirlsride #adventure #sunset #bikerchick @ Doger https://t.co/m2qU4p7zjj,-118.58365101, 34.20127432,Toni2Fine,Mon Nov 07 01:56:16 +0000 2016,#finished #myday #palmtrees #inthebreeze #blackgirlsride #adventure #sunset #bikerchick 
Sunset from above Leaving Aruba  #sun #sunset #flight #plane #Aruba #lonehappyisland  #clouds https://t.co/sRxb4hKH07,-84.379071, 33.841922,Ckolb,Mon Nov 07 01:54:32 +0000 2016,#sun #sunset #flight #plane #Aruba #lonehappyisland #clouds 
A Chasing Rabbits Sky #sunset #palmtrees #losangeles #sky #clouds #pink #weho https://t.co/uSsqfrvRkd,-118.35303854, 34.07625087,basiluzzomalato,Mon Nov 07 01:53:56 +0000 2016,#sunset #palmtrees #losangeles #sky #clouds #pink #weho 
Drone shot from above my house #sunset #memphis @ Midtown/ Memphis/ Tennessee https://t.co/lN67FwUUsM,-89.99, 35.145,dizzelmcgizzel,Mon Nov 07 01:53:28 +0000 2016,#sunset #memphis 
Leaving Aruba  #sun #sunset #flight #plane #Aruba #lonehappyisland  #clouds #mylife #gaycation https://t.co/eqepeLyFGg,-84.379071, 33.841922,Ckolb,Mon Nov 07 01:52:00 +0000 2016,#sun #sunset #flight #plane #Aruba #lonehappyisland #clouds #mylife #gaycation 
Soft &amp; wispy #sunset  @ Table Rock Beach https://t.co/bGUjydFJUF,-117.74631367, 33.50233075,angieweeks,Mon Nov 07 01:51:47 +0000 2016,#sunset 
There is nothing like the sunsets in central Texas. #sunset #austin https://t.co/4npu23geW1,-97.74528235, 30.26073745,ShawnWilsie,Mon Nov 07 01:47:20 +0000 2016,#sunset #austin 
#sundaynight #sunset @ Little Beach House Malibu https://t.co/lw58u7Wjdt,-118.67043, 34.03898,JodyFromOhio,Mon Nov 07 02:25:51 +0000 2016,#sundaynight #sunset 
#sunset @ Providencia Scl https://t.co/qmGJQGrQ2R,-70.60306414, -33.42659883,mtatoalaniz,Mon Nov 07 02:22:31 +0000 2016,#sunset 
November #landscape #photography #art #beauty #lake #sunset #photographersofinstagram @ Grey's https://t.co/v49BJFOcN4,-93.64447829, 41.5938735,ActorJack_,Mon Nov 07 02:18:44 +0000 2016,#landscape #photography #art #beauty #lake #sunset #photographersofinstagram 
The ocean is calling and I must go...<br/>#nevermissasunset #clouds #storm #amarillo #texas #sunset https://t.co/wGY4SYwESk,-101.845, 35.1993,apefit,Mon Nov 07 02:17:08 +0000 2016,#nevermissasunset #clouds #storm #amarillo #texas #sunset 
#autumn #sunset #rattlesnakepoint #hiking #myadventures with dunphyderek #offthebeatentrail https://t.co/mFLhDHdQaC,-79.91250799, 43.47149898,walsh_adele,Mon Nov 07 02:16:29 +0000 2016,#autumn #sunset #rattlesnakepoint #hiking #myadventures #offthebeatentrail 
Never miss a sunset...<br/>#nevermissasunset #clouds #storm #amarillo #texas #sunset #quotes https://t.co/Hr5aGVARV9,-101.845, 35.1993,apefit,Mon Nov 07 02:14:57 +0000 2016,#nevermissasunset #clouds #storm #amarillo #texas #sunset #quotes 
#sunset #longbeach #california @ City of Long Beach https://t.co/5507LM27AA,-118.177955, 33.79020692,DJSENT1,Mon Nov 07 02:12:25 +0000 2016,#sunset #longbeach #california 
